Unnamed: 0,area_type,location,total_sqft,bath,balcony,price,bhk
7676,Super built-up  Area,Attibele,900.0,1.0,1.0,25.0,2
7677,Super built-up  Area,Ramamurthy Nagar,1305.0,3.0,1.0,60.0,3
7678,Built-up  Area,Srirampuram,1200.0,2.0,2.0,100.0,3
7679,Super built-up  Area,Thanisandra,784.0,1.0,0.0,35.285,1
7680,Plot  Area,Kasavanhalli,5000.0,2.0,2.0,400.0,2
7681,Super built-up  Area,Sarjapur  Road,1150.0,2.0,0.0,36.8,2
7682,Built-up  Area,Whitefield,1806.0,3.0,3.0,85.0,3
7683,Super built-up  Area,Kudlu,1027.0,2.0,2.0,42.0,2
7684,Super built-up  Area,Uttarahalli,1002.0,2.0,1.0,40.08,2
7685,Super built-up  Area,Electronic City Phase II,1220.0,2.0,1.0,36.21,3
7686,Super built-up  Area,Whitefield,1109.0,2.0,1.0,35.22,2
7687,Built-up  Area,Uttarahalli,1002.0,2.0,1.0,40.08,2
7688,Super built-up  Area,Narayanapura,1308.0,2.0,1.0,89.04,2
7689,Super built-up  Area,Hennur Road,1232.0,2.0,1.0,69.6,2
7690,Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2
7691,Built-up  Area,Kalyan nagar,1250.0,2.0,2.0,65.0,2
7692,Plot  Area,2nd Phase JP Nagar,900.0,6.0,3.0,170.0,6
7693,Plot  Area,KR Puram,960.0,4.0,2.0,80.0,4
7694,Super built-up  Area,Raja Rajeshwari Nagar,1255.0,2.0,1.0,53.87,2
7695,Built-up  Area,Akshaya Nagar,1434.0,3.0,3.0,84.0,3
7696,Built-up  Area,Doddathoguru,925.0,2.0,2.0,30.0,2
7697,Super built-up  Area,Jakkur,1858.0,3.0,1.0,123.0,3
7698,Built-up  Area,Jakkuru Layout,1205.0,2.0,1.0,70.0,2
7699,Plot  Area,Nelamangala,1500.0,3.0,2.0,90.0,3
7700,Plot  Area,Nagawara Junction,1200.0,3.0,2.0,200.0,3
7701,Super built-up  Area,Mysore Road,1020.0,2.0,2.0,48.95,2
7702,Super built-up  Area,Thanisandra,965.0,2.0,1.0,56.0,2
7703,Plot  Area,7th Phase JP Nagar,1800.0,6.0,3.0,270.0,5
7704,Plot  Area,Hoysalanagar,1200.0,4.0,2.0,90.0,6
7705,Super built-up  Area,Battarahalli,1636.0,2.0,2.0,82.89,2
7706,Super built-up  Area,Kundalahalli,1724.0,3.0,1.0,125.0,3
7707,Super built-up  Area,Whitefield,1216.0,2.0,1.0,67.0,2
7708,Super built-up  Area,Yelahanka,654.0,1.0,1.0,36.25,1
7709,Built-up  Area,Chikkabanavar,2460.0,7.0,2.0,80.0,4
7710,Super built-up  Area,Abbaiah Reddy Layout,1190.0,2.0,2.0,41.0,2
7711,Plot  Area,Tavarekere,1200.0,5.0,2.0,180.0,7
7712,Super built-up  Area,Budigere,1636.0,3.0,2.0,92.0,3
7713,Super built-up  Area,Hennur Road,1195.0,2.0,2.0,73.0,2
7714,Super built-up  Area,Nagavara,2400.0,3.0,3.0,251.0,3
7715,Super built-up  Area,1st Block HRBR Layout,1250.0,2.0,1.0,67.0,2
7716,Super built-up  Area,Whitefield,1452.0,3.0,2.0,90.0,3
7717,Super built-up  Area,Thanisandra,1546.0,3.0,1.0,95.0,3
7718,Built-up  Area,Sarjapur  Road,3385.5,6.0,0.0,142.0,4
7719,Plot  Area,Indira Nagar,1440.0,3.0,1.0,275.0,3
7720,Plot  Area,Naganathapura,2260.0,3.0,1.0,80.0,2
7721,Plot  Area,Tavarekere,2700.0,3.0,2.0,90.0,4
7722,Super built-up  Area,Indira Nagar,1475.0,2.0,2.0,171.0,2
7723,Built-up  Area,JP Nagar,3000.0,3.0,2.0,150.0,4
7724,Built-up  Area,KG Halli,375.0,1.0,0.0,26.0,1
7725,Super built-up  Area,Balagere,1007.0,2.0,1.0,66.0,2
7726,Plot  Area,Kanakpura Road,1559.6266939129123,1.0,0.0,125.0,1
7727,Super built-up  Area,Cubbon Road,5422.0,6.0,2.0,1900.0,4
7728,Super built-up  Area,Hennur Road,1020.0,2.0,3.0,47.0,2
7729,Super built-up  Area,Lavelle Road,1000.0,2.0,0.0,150.0,2
7730,Plot  Area,Varanasi,800.0,3.0,1.0,59.5,2
7731,Plot  Area,Geddalahalli,1200.0,3.0,2.0,95.0,5
7732,Super built-up  Area,Marathahalli,1125.0,2.0,3.0,55.0,2
7733,Plot  Area,Kudlu Gate,1150.0,9.0,2.0,140.0,9
7734,Built-up  Area,Kada Agrahara,909.0,2.0,1.0,43.0,3
7735,Built-up  Area,Whitefield,2850.0,5.0,0.0,240.0,4
7736,Super built-up  Area,Dodsworth Layout,1400.0,2.0,3.0,85.0,2
7737,Super built-up  Area,Kadugodi,1152.0,2.0,2.0,61.0,2
7738,Super built-up  Area,Subramanyapura,958.0,2.0,1.0,34.49,2
7739,Super built-up  Area,Whitefield,1150.0,2.0,2.0,55.0,2
7740,Super built-up  Area,Old Madras Road,2990.0,5.0,1.0,173.0,3
7741,Super built-up  Area,Bellandur,1310.0,2.0,2.0,85.0,2
7742,Super built-up  Area,Hosur Road,1590.0,2.0,2.0,126.0,3
7743,Super built-up  Area,Green Glen Layout,1645.0,3.0,2.0,110.0,3
7744,Built-up  Area,Veerabhadra Nagar,1800.0,2.0,2.0,100.0,3
7745,Super built-up  Area,Thanisandra,1795.0,3.0,2.0,150.0,3
7746,Super built-up  Area,8th Phase JP Nagar,1100.0,2.0,3.0,35.0,2
7747,Super built-up  Area,Thanisandra,777.0,1.0,0.0,38.535,1
7748,Super built-up  Area,Kalkere,925.0,2.0,2.0,70.0,2
7749,Super built-up  Area,Basavangudi,1542.14,3.0,3.0,120.0,3
7750,Plot  Area,Konanakunte,3746.0,6.0,1.0,375.0,4
7751,Super built-up  Area,Thanisandra,1430.0,2.0,2.0,54.0,3
7752,Super built-up  Area,Bommanahalli,1020.0,2.0,2.0,55.0,2
7753,Plot  Area,Ramamurthy Nagar Extension,750.0,2.0,1.0,42.0,4
7754,Super built-up  Area,Electronic City Phase II,1140.0,2.0,1.0,32.92,2
7755,Built-up  Area,Anekal,967.0,2.0,1.0,45.0,3
7756,Super built-up  Area,Hebbal,2470.0,4.0,2.0,203.0,4
7757,Built-up  Area,Maruthi Nagar,850.0,1.0,0.0,35.5,2
7758,Super built-up  Area,Vidhyanagar Cross,1100.0,2.0,2.0,32.0,2
7759,Super built-up  Area,Thanisandra,1697.0,3.0,2.0,110.0,3
7760,Super built-up  Area,Varthur,1250.0,2.0,2.0,47.0,2
7761,Super built-up  Area,Gottigere,1120.0,2.0,2.0,50.0,2
7762,Plot  Area,NRI Layout,1200.0,4.0,0.0,95.0,4
7763,Plot  Area,Hennur Road,5100.0,6.0,3.0,375.0,5
7764,Plot  Area,7th Block Jayanagar,2400.0,3.0,2.0,480.0,4
7765,Super built-up  Area,Hebbal,1200.0,2.0,1.0,52.0,2
7766,Super built-up  Area,7th Phase JP Nagar,1100.0,2.0,1.0,44.0,2
7767,Super built-up  Area, Devarachikkanahalli,1417.0,2.0,2.0,76.0,3
7768,Built-up  Area,Thanisandra,1492.0,3.0,1.0,88.0,3
7769,Super built-up  Area,Devanahalli,1498.0,3.0,3.0,79.15,3
7770,Built-up  Area,Bellari Road,3500.0,2.0,1.0,350.0,4
7771,Super built-up  Area,Kundalahalli,1010.0,2.0,1.0,48.27,2
7772,Super built-up  Area,Hennur,1255.0,2.0,2.0,53.5,2
7773,Super built-up  Area,Channasandra,1050.0,2.0,1.0,35.0,2
7774,Super built-up  Area,Hegde Nagar,1847.0,3.0,2.0,125.0,3
7775,Super built-up  Area,1st Stage Indira Nagar,1200.0,2.0,2.0,55.0,2
7776,Super built-up  Area,Bellandur,982.0,2.0,2.0,37.28,2
7777,Super built-up  Area,Hegde Nagar,2144.6,4.0,2.0,145.0,3
7778,Super built-up  Area,Kengeri,750.0,2.0,1.0,36.5,2
7779,Super built-up  Area,Electronic City,919.0,2.0,2.0,35.0,2
7780,Super built-up  Area,Budigere,1087.0,2.0,1.0,54.3,2
7781,Built-up  Area,Sunder Ram Shetty Nagar,1480.0,3.0,2.0,74.0,3
7782,Built-up  Area,Tindlu,1180.0,2.0,2.0,52.0,2
7783,Super built-up  Area,6th Block Jayanagar,2100.0,4.0,2.0,255.0,3
7784,Super built-up  Area,Jigani,1221.0,3.0,2.0,65.0,3
7785,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,46.0,2
7786,Built-up  Area,Thanisandra,2072.0,3.0,2.0,122.0,3
7787,Built-up  Area,Whitefield,1600.0,3.0,2.0,69.0,3
7788,Super built-up  Area,Sahakara Nagar,2200.0,3.0,2.0,98.0,3
7789,Super built-up  Area,Rajaji Nagar,1640.0,3.0,3.0,220.0,3
7790,Super built-up  Area,Kaikondrahalli,1253.0,2.0,2.0,81.5,2
7791,Super built-up  Area,Hennur Road,1061.0,2.0,1.0,54.92,2
7792,Super built-up  Area,Marathahalli,1950.0,3.0,2.0,115.0,3
7793,Built-up  Area,Marathahalli,1250.0,2.0,2.0,68.0,2
7794,Super built-up  Area,Hennur Road,1585.0,2.0,3.0,80.0,3
7795,Super built-up  Area,Kanakpura Road,1452.0,3.0,3.0,60.98,3
7796,Super built-up  Area,Kammasandra,1015.0,2.0,2.0,37.0,2
7797,Super built-up  Area,Begur Road,2464.5,6.0,0.0,118.0,4
7798,Super built-up  Area,Marathahalli,1125.0,2.0,2.0,56.8,2
7799,Super built-up  Area,Electronic City Phase II,1116.0,2.0,2.0,40.0,2
7800,Built-up  Area,Kadarenahalli,400.0,1.0,0.0,35.0,1
7801,Super built-up  Area,Kasavanhalli,4000.0,4.0,2.0,325.0,4
7802,Super built-up  Area,Hebbal,3900.0,4.0,2.0,410.0,4
7803,Super built-up  Area,Old Madras Road,1300.0,2.0,2.0,100.0,2
7804,Super built-up  Area,Raja Rajeshwari Nagar,1419.0,2.0,1.0,60.42,2
7805,Super built-up  Area,Punappa Layout,1310.0,2.0,1.0,55.0,3
7806,Super built-up  Area,Thigalarapalya,2072.0,4.0,2.0,152.0,3
7807,Built-up  Area,Kaggadasapura,1240.0,2.0,1.0,58.58,2
7808,Built-up  Area,Chamrajpet,1565.0,3.0,2.0,98.91,3
7809,Super built-up  Area,Budigere,1820.0,3.0,2.0,89.0,3
7810,Plot  Area,Gubbalala,2500.0,3.0,1.0,88.0,3
7811,Plot  Area,KR Puram,3657.0,5.0,2.0,310.0,5
7812,Super built-up  Area,Hosa Road,1245.0,2.0,1.0,62.0,2
7813,Super built-up  Area,GM Palaya,1315.0,3.0,1.0,65.0,3
7814,Super built-up  Area,Kenchenahalli,1410.0,2.0,2.0,73.0,3
7815,Super built-up  Area,Dasarahalli,1375.0,2.0,1.0,60.0,2
7816,Super built-up  Area,Old Madras Road,1299.0,2.0,2.0,95.0,2
7817,Super built-up  Area,Pampa Extension,993.0,2.0,3.0,45.5,2
7818,Plot  Area,Bommasandra Industrial Area,1200.0,3.0,0.0,45.0,2
7819,Super built-up  Area,Lavelle Road,985.0,2.0,1.0,156.0,2
7820,Built-up  Area,4th Block Koramangala,2400.0,5.0,3.0,180.0,4
7821,Super built-up  Area,Hebbal,1255.0,2.0,1.0,95.0,3
7822,Super built-up  Area,Hoodi,1655.0,3.0,2.0,131.0,3
7823,Super built-up  Area,Whitefield,2830.0,5.0,3.0,190.0,4
7824,Super built-up  Area, Sector 1 HSR Layout,6000.0,1.0,1.0,276.0,1
7825,Built-up  Area,Electronic City,550.0,1.0,1.0,15.0,2
7826,Super built-up  Area,Balaji Gardens Layout,825.0,2.0,1.0,40.0,1
7827,Super built-up  Area,Begur Road,1634.0,3.0,1.0,111.0,3
7828,Plot  Area,Kogilu,1200.0,6.0,3.0,105.0,8
7829,Super built-up  Area,Banaswadi,1222.0,2.0,2.0,80.0,2
7830,Super built-up  Area,Gottigere,1500.0,3.0,2.0,63.0,3
7831,Super built-up  Area,Akshaya Nagar,1890.0,4.0,2.0,100.0,3
7832,Built-up  Area,Hegde Nagar,3750.0,6.0,2.0,375.0,4
7833,Super built-up  Area,Hulimavu,850.0,1.0,1.0,39.5,2
7834,Super built-up  Area,Whitefield,1295.0,2.0,3.0,78.5,2
7835,Super built-up  Area,Sarjapur  Road,1320.0,2.0,1.0,100.0,2
7836,Built-up  Area,ISRO Layout,950.0,3.0,3.0,179.0,4
7837,Plot  Area,Hebbal,1200.0,4.0,2.0,225.0,4
7838,Built-up  Area,2nd Stage Nagarbhavi,3000.0,3.0,3.0,170.0,4
7839,Built-up  Area,Harlur,1197.0,2.0,1.0,82.0,2
7840,Super built-up  Area,Hoysalanagar,1320.0,2.0,3.0,60.0,3
7841,Plot  Area,Billekahalli,1180.0,5.0,2.0,98.5,5
7842,Super built-up  Area,Whitefield,840.0,1.0,1.0,57.6,1
7843,Super built-up  Area,Whitefield,640.0,1.0,0.0,19.83,1
7844,Super built-up  Area,Raja Rajeshwari Nagar,1693.0,3.0,1.0,71.38,3
7845,Super built-up  Area,Kodihalli,1000.0,2.0,1.0,62.0,2
7846,Built-up  Area,Babusapalaya,1305.0,2.0,1.0,70.0,2
7847,Built-up  Area,Kodichikkanahalli,450.0,1.0,1.0,18.0,1
7848,Super built-up  Area,CV Raman Nagar,705.0,1.0,1.0,57.0,1
7849,Super built-up  Area,Ilyas Nagar,750.0,6.0,2.0,75.0,4
7850,Built-up  Area,Tumkur Road,4800.0,5.0,2.0,150.0,5
7851,Built-up  Area,Koramangala Industrial Layout,5000.0,5.0,2.0,600.0,4
7852,Plot  Area,Gubbalala,5000.0,4.0,3.0,425.0,4
7853,Built-up  Area,Whitefield,1991.0,3.0,2.0,104.0,3
7854,Super built-up  Area,Battarahalli,1779.0,3.0,2.0,90.0,3
7855,Plot  Area,Whitefield,10200.0,4.0,1.0,1250.0,4
7856,Super built-up  Area,Banaswadi,870.0,2.0,2.0,38.0,2
7857,Super built-up  Area,Thanisandra,1595.0,3.0,2.0,120.0,3
7858,Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,26.0,1
7859,Plot  Area,Ramamurthy Nagar,945.0,5.0,2.0,120.0,4
7860,Plot  Area,Basaveswarnagar,2400.0,4.0,2.0,420.0,6
7861,Super built-up  Area,Iblur Village,2000.0,4.0,2.0,138.0,3
7862,Super built-up  Area,Yelahanka,1614.0,3.0,2.0,93.0,3
7863,Super built-up  Area,Gottigere,1200.0,2.0,3.0,40.0,2
7864,Built-up  Area,Electronic City Phase II,1150.0,3.0,3.0,46.0,3
7865,Super built-up  Area,Indira Nagar,3200.0,4.0,2.0,440.0,4
7866,Super built-up  Area,Sonnenahalli,1610.0,3.0,2.0,80.48,3
7867,Super built-up  Area,Whitefield,1190.0,2.0,2.0,41.0,2
7868,Super built-up  Area,Kallumantapa,1050.0,2.0,2.0,50.0,2
7869,Plot  Area,Vaishnavi Layout,4800.0,5.0,2.0,420.0,4
7870,Super built-up  Area,7th Phase JP Nagar,1460.0,2.0,1.0,97.0,3
7871,Super built-up  Area,Jaymahal Road,3400.0,3.0,3.0,400.0,3
7872,Plot  Area,Naganathapura,600.0,1.0,0.0,33.0,1
7873,Built-up  Area,Suraksha Nagar,1569.0,3.0,0.0,70.0,3
7874,Built-up  Area,"Off Sarjapur Road, ",2600.0,3.0,2.0,147.0,3
7875,Super built-up  Area,Electronics City Phase 1,645.0,1.0,0.0,42.5,1
7876,Plot  Area,Nagarbhavi Garden Villas Layout,1200.0,3.0,1.0,180.0,4
7877,Plot  Area,Nagarbhavi,800.0,3.0,0.0,95.0,3
7878,Built-up  Area,Mico Layout,800.0,2.0,1.0,80.0,2
7879,Super built-up  Area,Marathahalli,1350.0,2.0,1.0,90.0,2
7880,Super built-up  Area,BTM 2nd Stage,2780.0,4.0,1.0,325.0,3
7881,Super built-up  Area,Rajarajeshwari Nagara,1410.0,2.0,2.0,45.12,3
7882,Super built-up  Area,Whitefield,1109.0,2.0,1.0,35.47,2
7883,Super built-up  Area,Vasanth nagar,2000.0,3.0,2.0,1063.0,4
7884,Built-up  Area,Agrahara Dasarahalli,800.0,1.0,0.0,72.0,1
7885,Super built-up  Area,Bannerghatta Road,1215.0,2.0,1.0,68.0,2
7886,Plot  Area,Basaveshwara Nagar,1230.0,6.0,0.0,250.0,8
7887,Built-up  Area,Prithvi Layout,2273.0,4.0,2.0,192.0,3
7888,Super built-up  Area,Varthur Road,1255.0,2.0,2.0,52.76,2
7889,Super built-up  Area,B Narayanapura,1020.0,2.0,1.0,49.0,2
7890,Super built-up  Area,T R Mill Road,1225.0,2.0,2.0,82.0,3
7891,Super built-up  Area,Singasandra,1120.0,2.0,1.0,60.0,2
7892,Plot  Area,Victoria Layout,2400.0,5.0,3.0,625.0,5
7893,Super built-up  Area,Kasavanhalli,1225.0,2.0,1.0,69.0,3
7894,Plot  Area,Whitefield,5200.0,5.0,3.0,242.0,4
7895,Built-up  Area,Indira Nagar,4000.0,4.0,1.0,700.0,4
7896,Super built-up  Area,Sarjapur  Road,1984.0,4.0,1.0,145.0,3
7897,Super built-up  Area,Old Madras Road,2425.0,3.0,1.0,197.0,3
7898,Plot  Area,ITPL,1200.0,3.0,1.0,56.12,3
7899,Super built-up  Area,Bommasandra,1127.0,2.0,1.0,45.0,2
7900,Built-up  Area,Whitefield,1655.0,3.0,2.0,97.0,3
7901,Super built-up  Area,Ananth Nagar,500.0,1.0,1.0,14.0,1
7902,Plot  Area,Varthur,1200.0,3.0,1.0,68.38,3
7903,Super built-up  Area,Kaggadasapura,1000.0,2.0,2.0,43.0,2
7904,Super built-up  Area,CV Raman Nagar,1225.0,2.0,2.0,47.88,2
7905,Super built-up  Area,Hormavu,1350.0,2.0,2.0,45.0,2
7906,Plot  Area,Nagarbhavi,600.0,5.0,3.0,95.0,4
7907,Super built-up  Area,Sahakara Nagar,1175.0,2.0,3.0,49.0,2
7908,Super built-up  Area,Sanne Amanikere,655.0,1.0,2.0,27.0,1
7909,Super built-up  Area,Hosa Road,1311.0,2.0,1.0,84.86,3
7910,Plot  Area,Banashankari Stage VI,600.0,4.0,0.0,90.0,3
7911,Carpet  Area,CV Raman Nagar,1000.0,2.0,1.0,38.5,2
7912,Super built-up  Area,Indira Nagar Stage 2,1196.0,2.0,1.0,96.0,2
7913,Built-up  Area,Kanakpura Road,1050.0,2.0,1.0,59.0,3
7914,Super built-up  Area,Somasundara Palya,1275.0,2.0,2.0,52.0,3
7915,Carpet  Area,Hommadevanahalli,927.0,2.0,1.0,50.0,2
7916,Super built-up  Area,Varthur,1520.0,2.0,3.0,61.0,3
7917,Plot  Area,BTM Layout 2nd Stage 1st Phase,2400.0,5.0,2.0,395.0,4
7918,Built-up  Area,Hebbal,1333.0,2.0,1.0,104.0,2
7919,Super built-up  Area,Tunganagara,600.0,1.0,0.0,18.0,1
7920,Super built-up  Area,Abbigere,1326.0,2.0,1.0,34.8,3
7921,Super built-up  Area,Sarjapur  Road,1773.5,2.0,2.0,85.125,3
7922,Built-up  Area,Koramangala,1370.0,2.0,2.0,125.0,2
7923,Super built-up  Area,Koramangala,1100.0,2.0,2.0,85.0,2
7924,Super built-up  Area,Haralur Road,1650.0,3.0,3.0,100.0,3
7925,Super built-up  Area,Kasavanhalli,1917.0,3.0,2.0,132.0,3
7926,Carpet  Area,Doddakannelli,780.0,3.0,2.0,75.0,3
7927,Super built-up  Area,Billekahalli,950.0,2.0,1.0,58.11,2
7928,Super built-up  Area,T C Palya main Road,1175.0,2.0,1.0,48.72,2
7929,Super built-up  Area,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2
7930,Super built-up  Area,Kalena Agrahara,1804.0,3.0,2.0,175.0,3
7931,Super built-up  Area,Hoodi,1257.0,2.0,1.0,68.5,2
7932,Super built-up  Area,Sarjapur,650.0,1.0,2.0,19.87,1
7933,Super built-up  Area,Whitefield,1850.0,3.0,2.0,150.0,3
7934,Built-up  Area,Vishwapriya Nagar,2800.0,4.0,1.0,200.0,4
7935,Built-up  Area,Vidyaranyapura,945.0,2.0,2.0,40.0,2
7936,Super built-up  Area,Koramangala,1161.0,2.0,1.0,63.85,2
7937,Super built-up  Area,Banashankari Stage V,1630.0,3.0,2.0,51.35,3
7938,Super built-up  Area,Jalahalli,1310.0,2.0,2.0,60.0,3
7939,Super built-up  Area,Lake City,750.0,2.0,1.0,28.0,2
7940,Plot  Area,Whitefield,1200.0,3.0,1.0,67.77,3
7941,Super built-up  Area,Vittal Nagar,1000.0,2.0,1.0,45.0,2
7942,Plot  Area,Old Madras Road,4000.0,4.0,2.0,225.0,4
7943,Built-up  Area,Nagavara,1315.0,2.0,2.0,70.0,2
7944,Super built-up  Area,Sahakara Nagar,1370.0,2.0,2.0,90.0,3
7945,Plot  Area,Ulsoor,1200.0,4.0,3.0,150.0,5
7946,Built-up  Area,Bellandur,1465.0,3.0,3.0,90.0,2
7947,Plot  Area,JP Nagar,20000.0,3.0,2.0,175.0,3
7948,Super built-up  Area,Electronic City,1128.0,2.0,1.0,64.0,2
7949,Super built-up  Area,Padmanabhanagar,1250.0,2.0,2.0,70.0,3
7950,Super built-up  Area,Hebbal,1645.0,3.0,2.0,117.0,3
7951,Super built-up  Area,Horamavu Agara,1284.0,2.0,2.0,75.0,3
7952,Super built-up  Area,Hebbal,2600.0,3.0,2.0,199.0,3
7953,Super built-up  Area,Kodigehalli,1820.0,3.0,2.0,150.0,3
7954,Super built-up  Area,Haralur Road,1580.0,3.0,1.0,73.0,3
7955,Built-up  Area,Akshaya Nagar,2650.0,3.0,2.0,125.0,3
7956,Super built-up  Area,Bannerghatta Road,1215.0,2.0,1.0,68.0,2
7957,Super built-up  Area,Uttarahalli,1075.0,2.0,1.0,40.0,2
7958,Super built-up  Area,R.T. Nagar,1400.0,2.0,3.0,78.0,3
7959,Super built-up  Area,Subramanyapura,1400.0,2.0,1.0,55.0,3
7960,Built-up  Area,Bisuvanahalli,845.0,2.0,1.0,30.0,2
7961,Super built-up  Area,Hegde Nagar,2600.0,4.0,3.0,40.0,4
7962,Built-up  Area,Sarjapur,3854.5,6.0,0.0,385.5,4
7963,Super built-up  Area,Richards Town,800.0,2.0,1.0,85.0,2
7964,Super built-up  Area,Panathur,1199.0,2.0,1.0,85.0,2
7965,Super built-up  Area,Gunjur,1175.0,2.0,2.0,43.48,2
7966,Plot  Area,Sahakara Nagar,2400.0,3.0,2.0,270.0,3
7967,Super built-up  Area,Bellandur,1767.0,3.0,2.0,109.0,3
7968,Super built-up  Area,Sarjapur  Road,1800.0,3.0,1.0,90.0,4
7969,Super built-up  Area,Talaghattapura,1856.0,3.0,2.0,135.0,3
7970,Plot  Area,R.T. Nagar,1200.0,3.0,2.0,140.0,3
7971,Super built-up  Area,Rajaji Nagar,1613.0,3.0,0.0,150.0,3
7972,Super built-up  Area,Jakkur,6830.0,5.0,2.0,795.0,4
7973,Built-up  Area,Whitefield,1290.0,2.0,0.0,90.0,2
7974,Super built-up  Area,Kasavanhalli,1375.0,2.0,1.0,78.0,2
7975,Super built-up  Area,Bagalur,985.0,2.0,2.0,57.0,2
7976,Plot  Area,Jeevan bima nagar,1200.0,4.0,1.0,200.0,4
7977,Super built-up  Area,Singasandra,1099.0,2.0,1.0,37.5,2
7978,Super built-up  Area,Electronic City,605.0,1.0,0.0,13.31,1
7979,Super built-up  Area,1 Immadihalli,6000.0,12.0,2.0,150.0,11
7980,Built-up  Area,RMV Extension Stage 2,3600.0,7.0,3.0,160.0,7
7981,Super built-up  Area,Marathahalli,1200.0,2.0,1.0,53.0,2
7982,Built-up  Area,Hulimavu,1000.0,2.0,1.0,45.0,2
7983,Super built-up  Area,Electronic City,1159.0,2.0,3.0,38.0,3
7984,Super built-up  Area,Sarjapur  Road,3692.0,5.0,2.0,340.0,5
7985,Plot  Area,Devi Nagar,600.0,2.0,1.0,80.0,2
7986,Plot  Area,4th Block Koramangala,2400.0,4.0,3.0,600.0,4
7987,Built-up  Area,BTM Layout,1540.0,2.0,2.0,78.0,3
7988,Built-up  Area,"JP Nagar 7th Phase, ",1503.0,2.0,2.0,93.0,3
7989,Super built-up  Area,Ambedkar Nagar,1850.0,4.0,2.0,120.0,3
7990,Built-up  Area,Uttarahalli,1580.0,3.0,1.0,60.0,3
7991,Super built-up  Area,Mico Layout,1190.0,2.0,2.0,39.25,2
7992,Plot  Area,Sampigehalli,1200.0,2.0,1.0,61.0,2
7993,Plot  Area,HAL 2nd Stage,1000.0,7.0,3.0,250.0,7
7994,Super built-up  Area,Jakkur,850.0,1.0,1.0,19.9,2
7995,Super built-up  Area,Domlur,2180.0,3.0,2.0,285.0,3
7996,Super built-up  Area,Hennur Bande,2500.0,2.0,1.0,60.0,3
7997,Plot  Area,ITPL,1200.0,3.0,1.0,56.12,3
7998,Super built-up  Area,Kamakshipalya,1500.0,2.0,2.0,52.0,3
7999,Plot  Area,Navodaya Nagar,1200.0,3.0,2.0,180.0,5
8000,Super built-up  Area,Thanisandra,1880.0,3.0,3.0,120.0,3
8001,Super built-up  Area,Padmanabhanagar,1150.0,2.0,2.0,45.0,2
8002,Plot  Area,Kasavanhalli,4408.0,4.0,2.0,344.0,4
8003,Super built-up  Area,Bellandur,924.0,2.0,2.0,35.11,2
8004,Super built-up  Area,Sarjapur  Road,7800.0,6.0,2.0,385.0,5
8005,Plot  Area,Kumaraswami Layout,600.0,6.0,3.0,100.0,6
8006,Plot  Area,Pattanagere,750.0,4.0,1.0,95.0,4
8007,Built-up  Area,Karuna Nagar,1962.0,3.0,2.0,175.0,3
8008,Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5
8009,Super built-up  Area,B Narayanapura,1765.0,3.0,2.0,77.27,3
8010,Super built-up  Area,Attibele,1174.0,2.0,1.0,29.35,2
8011,Super built-up  Area,Bannerghatta Road,1894.0,3.0,1.0,115.0,3
8012,Plot  Area,Ramamurthy Nagar,960.0,2.0,2.0,138.0,4
8013,Super built-up  Area,Sector 7 HSR Layout,1760.0,3.0,2.0,142.0,3
8014,Built-up  Area,Doddanakundi Industrial Area 2,1768.0,3.0,3.0,95.0,3
8015,Built-up  Area,Kothanur,1790.0,3.0,0.0,97.0,3
8016,Plot  Area,Kumara Park,3500.0,5.0,1.0,800.0,4
8017,Plot  Area,Whitefield,1200.0,2.0,1.0,45.0,2
8018,Built-up  Area,Kengeri,2540.0,4.0,0.0,160.0,4
8019,Super built-up  Area,Mahadevpura,1137.0,2.0,1.0,53.4,2
8020,Super built-up  Area,Jakkur,3181.0,2.0,2.0,229.0,4
8021,Plot  Area,Guni Agrahara,1200.0,6.0,2.0,115.0,7
8022,Super built-up  Area,Mysore Road,1568.0,2.0,2.0,100.0,3
8023,Built-up  Area,Devanahalli,4920.0,4.0,0.0,393.5,4
8024,Super built-up  Area,AECS Layout,1308.0,2.0,1.0,60.0,2
8025,Super built-up  Area,Shankarapuram,3060.0,4.0,2.0,350.0,4
8026,Super built-up  Area,Bisuvanahalli,1200.0,2.0,1.0,41.0,3
8027,Super built-up  Area,Shetty Halli,800.0,1.0,2.0,32.0,1
8028,Super built-up  Area,Electronic City,530.0,1.0,1.0,13.5,1
8029,Built-up  Area,Bisuvanahalli,873.0,2.0,1.0,40.0,3
8030,Plot  Area,AGB Layout,3000.0,6.0,3.0,145.0,7
8031,Plot  Area,2nd Stage Arekere Mico Layout,1200.0,4.0,1.0,235.0,4
8032,Super built-up  Area,Subramanyapura,958.0,2.0,1.0,33.53,2
8033,Super built-up  Area,Thigalarapalya,2072.0,4.0,2.0,160.0,3
8034,Super built-up  Area,Talaghattapura,2273.0,3.0,3.0,159.0,3
8035,Plot  Area,Banashankari Stage VI,600.0,3.0,2.0,90.0,3
8036,Super built-up  Area,Thanisandra,760.0,1.0,2.0,50.0,1
8037,Super built-up  Area,Dommasandra,1090.0,2.0,2.0,43.5,2
